Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Total,Fwd IAT Std,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Min,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Fwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Seg Size Min,Active Mean,Active Std,Idle Std,Idle Max,Label,Traffic Type,Traffic Subtype,Birch_Cluster
192.168.1.70-192.168.1.90-1424-51489-6,192.168.1.70,1424.0,192.168.1.90,51489,6.0,63084.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.703760065943825,63084.0,0.0,63084.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,20.0,15.851880032971913,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,Information Gathering,Information Gathering,0
192.168.1.70-192.168.1.90-35504-0-6,192.168.1.70,35504.0,192.168.1.90,0,6.0,25039.0,1.0,1.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,1996.8848596189944,79.87539438475977,25039.0,0.0,25039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,39.937697192379886,0.0,28.867513459481287,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS ECN,0
192.168.1.70-192.168.1.90-1424-643-6,192.168.1.70,1424.0,192.168.1.90,643,6.0,35085.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.00441784238279,35085.0,0.0,35085.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,20.0,28.5022089211914,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,Information Gathering,Information Gathering,0
192.168.1.70-192.168.1.90-9795-0-6,192.168.1.70,9795.0,192.168.1.90,0,6.0,3490550.0,2.0,1.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,28.648780278179657,0.8594634083453897,1745275.0,2353737.8572542863,80931.0,3409619.0,0.0,3409619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.2864878027817966,0.0,25.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS FIN,0
192.168.1.70-192.168.1.90-2963-24949-6,192.168.1.70,2963.0,192.168.1.90,24949,6.0,5269611.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3795346563531919,5269611.0,0.0,5269611.0,5269611.0,0.0,5269611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,5269611.0,Malicious,Information Gathering,Information Gathering,0
192.168.1.70-192.168.1.90-29734-0-6,192.168.1.70,29734.0,192.168.1.90,0,6.0,28961284.0,4.0,1.0,180.0,0.0,50.0,10.0,0.0,0.0,0.0,6.215194050098055,0.1726442791693904,7240321.0,7687110.752138587,48805.0,28912479.0,7359273.468757836,1550159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,0.034528855833878,0.0,19.748417658131498,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,512.0,0.0,20.0,1550159.0,0.0,3195364.6324937628,15940624.0,Malicious,DoS,DoS ECN,0
192.168.1.70-192.168.1.90-42979-0-6,192.168.1.70,42979.0,192.168.1.90,0,6.0,9087025.0,2.0,1.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,11.004701758826458,0.3301410527647937,4543512.5,6329794.338118775,67672.0,9019353.0,0.0,9019353.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,20.0,0.1100470175882645,0.0,25.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,9019353.0,Malicious,DoS,DoS PSH,0
192.168.1.70-192.168.1.90-40479-0-6,192.168.1.70,40479.0,192.168.1.90,0,6.0,31521972.0,2.0,1.0,60.0,0.0,30.0,0.0,0.0,0.0,0.0,1.9034342140777232,0.0951717107038861,15760986.0,21312219.598165978,690971.0,690971.0,0.0,690971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.031723903567962,0.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,0.0,512.0,0.0,40.0,690971.0,0.0,0.0,30831001.0,Malicious,DoS,DoS FIN,0
192.168.1.90-192.168.1.70-80-47124-6,192.168.1.90,80.0,192.168.1.70,47124,6.0,98617.0,2.0,1.0,809.0,0.0,809.0,572.0493859799169,0.0,0.0,0.0,8203.453765577944,30.42071853737185,49308.5,45124.01924141953,17401.0,81216.0,0.0,81216.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,20.0,10.140239512457285,0.0,467.0763677744072,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,404.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,32.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS HTTP,0
192.168.1.70-192.168.1.90-37537-0-6,192.168.1.70,37537.0,192.168.1.90,0,6.0,37698.0,1.0,1.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,1326.330309300228,53.05321237200912,37698.0,0.0,37698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,20.0,26.52660618600456,0.0,28.867513459481287,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS URG,0
192.168.1.70-192.168.1.90-43627-0-17,192.168.1.70,43627.0,192.168.1.90,0,17.0,3155906.0,2.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,31.68662184488385,0.633732436897677,3155906.0,0.0,3155906.0,3155906.0,0.0,3155906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS UDP,0
192.168.1.70-192.168.1.90-63909-0-6,192.168.1.70,63909.0,192.168.1.90,0,6.0,15584.0,1.0,1.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,3208.418891170431,128.33675564681724,15584.0,0.0,15584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,64.16837782340862,0.0,28.867513459481287,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS SYN,0
192.168.1.70-192.168.1.90-39664-0-6,192.168.1.70,39664.0,192.168.1.90,0,6.0,34933.0,1.0,1.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,14313.113674748804,57.25245469899522,34933.0,0.0,34933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,28.62622734949761,0.0,288.67513459481285,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS ECN,0
