Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Total,Fwd IAT Std,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Bwd Packets/s,Packet Length Min,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Fwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Seg Size Min,Active Mean,Active Std,Idle Std,Idle Max,Label,Traffic Type,Traffic Subtype
192.168.1.90-192.168.1.70-55846-8080-6,192.168.1.90,55846.0,192.168.1.70,8080,6.0,592652.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.061992535248342,296326.0,415486.04513027874,2533.0,590119.0,0.0,590119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.0,1.6873308450827806,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1486.0,505.0,32.0,0.0,0.0,0.0,0.0,Benign,Video,Video HTTP
192.168.1.70-192.168.1.90-3021-58670-6,192.168.1.70,3021.0,192.168.1.90,58670,6.0,132079.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.142452623051357,132079.0,0.0,132079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,7.571226311525677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,Information Gathering,Information Gathering
192.168.1.70-192.168.1.90-2942-63695-6,192.168.1.70,2942.0,192.168.1.90,63695,6.0,235208.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.503112139042889,235208.0,0.0,235208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,20.0,4.2515560695214445,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,Information Gathering,Information Gathering
192.168.1.70-192.168.1.90-29171-0-6,192.168.1.70,29171.0,192.168.1.90,0,6.0,20048390.0,2.0,0.0,1000.0,0.0,500.0,0.0,0.0,0.0,0.0,49.87931699253655,0.0997586339850731,20048390.0,0.0,20048390.0,20048390.0,0.0,20048390.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,2.0,1000.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,20048390.0,Malicious,DoS,DoS PSH
192.168.1.70-192.168.1.90-54083-0-17,192.168.1.70,54083.0,192.168.1.90,0,17.0,24926962.0,7.0,0.0,800.0,0.0,500.0,170.08401285415226,0.0,0.0,0.0,32.093762569221234,0.2808204224806858,4154493.6666666665,3111901.451023516,770802.0,24926962.0,3111901.451023516,770802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,50.0,159.0990257669732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.28571428571428,0.0,0.0,0.0,0.0,0.0,1.0,160.0,0.0,0.0,0.0,8.0,4460807.0,776933.5758287191,756414.7512522478,8537540.0,Malicious,DoS,DoS UDP
192.168.1.70-192.168.1.90-49989-0-6,192.168.1.70,49989.0,192.168.1.90,0,6.0,6773.0,1.0,1.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,4429.351838181013,295.29012254540083,6773.0,0.0,6773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,147.64506127270042,0.0,17.320508075688775,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,40.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS ECN
192.168.1.70-192.168.1.90-30236-0-6,192.168.1.70,30236.0,192.168.1.90,0,6.0,184018.0,1.0,1.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,271.71254985925293,10.868501994370115,184018.0,0.0,184018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,5.4342509971850586,0.0,28.867513459481287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS ACK
192.168.1.70-192.168.1.90-55931-0-6,192.168.1.70,55931.0,192.168.1.90,0,6.0,17811.0,1.0,1.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,2807.253944191792,112.29015776767166,17811.0,0.0,17811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,56.14507888383583,0.0,28.867513459481287,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS SYN
192.168.1.70-192.168.1.90-43892-0-6,192.168.1.70,43892.0,192.168.1.90,0,6.0,12169464.0,3.0,0.0,150.0,0.0,50.0,0.0,0.0,0.0,0.0,12.325933171748568,0.2465186634349713,6084732.0,7981549.817029773,440924.0,12169464.0,7981549.817029773,440924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,150.0,0.0,512.0,0.0,20.0,0.0,0.0,0.0,11728540.0,Malicious,DoS,DoS SYN
192.168.1.70-192.168.1.90-26192-0-6,192.168.1.70,26192.0,192.168.1.90,0,6.0,19882.0,1.0,1.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,25148.3754149482,100.59350165979278,19882.0,0.0,19882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,50.29675082989639,0.0,288.67513459481285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS ACK
